Source,Target,Weight
miR-93-5p,MAP3K2,0.896544453778676
miR-363-3p,MAN2A1,0.89439224230993
miR-93-5p,ZNFX1,0.88587912597185
miR-93-5p,PLEKHA3,0.885706914282018
miR-93-5p,BRMS1L,0.883017621626333
miR-93-5p,ARHGAP12,0.877192034921588
miR-93-5p,ZNF800,0.875114777467848
miR-363-3p,G3BP2,0.8748446197409
miR-93-5p,ENPP5,0.874786178760685
miR-182-5p,FRS2,0.869826686582323
miR-182-5p,RASA1,0.868008038685689
miR-363-3p,SLC12A5,0.867475794519346
miR-93-5p,DYNC1LI2,0.867408920436026
miR-363-3p,LHFPL2,0.864813655743815
miR-93-5p,ITPRIPL2,0.864767465262679
miR-93-5p,GPR137C,0.863517140306673
miR-93-5p,EPHA4,0.856798599582277
miR-182-5p,RGS17,0.855293410289063
miR-93-5p,RAB22A,0.855029940189715
miR-93-5p,PKD2,0.854704457931042
miR-93-5p,ARID4B,0.854571252236242
miR-182-5p,PRKACB,0.854269339615654
miR-153-3p,GALNT7,0.853778390103913
miR-363-3p,FNIP1,0.852600382009676
miR-182-5p,BNC2,0.852388248807545
miR-363-3p,MAP2K4,0.851756030571181
miR-153-3p,SERTAD2,0.850344102787285
miR-93-5p,MKRN1,0.848314964779709
miR-93-5p,ZBTB7A,0.848123890563378
miR-182-5p,CD2AP,0.846804287734621
miR-93-5p,PFN2,0.846672050346114
miR-363-3p,MYO1B,0.846622853145921
miR-182-5p,VAMP3,0.845302028187972
miR-363-3p,RAB23,0.845259866385028
miR-182-5p,CHIC1,0.843403286230037
miR-93-5p,TGFBR2,0.843149995988126
miR-182-5p,YWHAG,0.842475404079521
miR-182-5p,KTN1,0.841924816431253
miR-182-5p,CAMSAP2,0.841670739107532
miR-93-5p,FBXL5,0.841432855638516
miR-182-5p,PCNX1,0.840394963897898
miR-93-5p,E2F1,0.839983242600778
miR-182-5p,MITF,0.839660564637784
miR-93-5p,ZFYVE26,0.838031893268246
miR-93-5p,FCHO2,0.837761678560365
miR-93-5p,RRAGD,0.836970886249725
miR-93-5p,KIF23,0.836493525359707
miR-363-3p,HIPK3,0.836232750196021
miR-93-5p,CROT,0.83444858771736
miR-93-5p,MYT1L,0.833566487061638
miR-363-3p,CD69,0.833414375840098
miR-93-5p,FGD4,0.832980864410565
miR-93-5p,VLDLR,0.832835330432272
miR-93-5p,PRRG1,0.831638238640123
miR-182-5p,MFAP3,0.831619980502844
miR-93-5p,MED12L,0.831534100933613
miR-363-3p,RIC1,0.831194975620204
miR-363-3p,RSBN1,0.831167311312888
miR-93-5p,FYCO1,0.830849366800578
miR-93-5p,NABP1,0.830679809034255
miR-93-5p,TNFRSF21,0.830478551459669
miR-93-5p,RGMA,0.829703739377426
miR-93-5p,BCL11B,0.829277937871986
miR-93-5p,MASTL,0.82925766114915
miR-93-5p,CFL2,0.827901175411546
miR-93-5p,PBX3,0.82735402019534
miR-93-5p,DERL2,0.827221429822453
miR-153-3p,NFIB,0.826753982108647
miR-93-5p,SERP1,0.82671167874398
miR-93-5p,NPAS2,0.825973036265297
miR-363-3p,MORC3,0.825970999224854
miR-93-5p,RBL2,0.825950131210003
miR-93-5p,SPOPL,0.825739773259157
miR-182-5p,FOXF2,0.825544909485889
miR-93-5p,SLC40A1,0.82522451365869
miR-93-5p,ARID4A,0.82420818094691
miR-93-5p,ATAD2,0.823996670100523
miR-182-5p,FBXW7,0.823989952542431
miR-182-5p,ARF4,0.82359449741212
miR-93-5p,DDHD1,0.8235379286491
miR-93-5p,SAR1B,0.823523645182248
miR-93-5p,PFKP,0.823370389277926
miR-182-5p,ACTR2,0.822917261379597
miR-182-5p,PALLD,0.822641434677736
miR-182-5p,CTTN,0.822422279891443
miR-93-5p,USP3,0.822077994155762
miR-93-5p,ZBTB4,0.821994546224304
miR-182-5p,LPP,0.82184829925867
miR-93-5p,RUFY2,0.821690345464612
miR-363-3p,ANKIB1,0.821368453503812
miR-363-3p,KLHL14,0.821008058196325
miR-182-5p,NUAK1,0.820833325290184
miR-93-5p,ANKRD52,0.820042145710478
miR-93-5p,BTBD7,0.819884429715733
miR-363-3p,RBM47,0.819810049452395
miR-93-5p,GLIS3,0.819740313847204
miR-93-5p,RASL11B,0.819539522335688
miR-93-5p,ANKIB1,0.81931815460914
miR-93-5p,RPS6KA5,0.819205341900325
miR-93-5p,POLR3G,0.818680440668295
miR-93-5p,HBP1,0.818625435151784
miR-93-5p,CDC37L1,0.81765448794221
miR-93-5p,CLIP4,0.817407924493354
miR-182-5p,NCALD,0.817219532307152
miR-363-3p,GRAMD2B,0.817081107617297
miR-153-3p,FAM168B,0.816978038222822
miR-363-3p,DCAF6,0.816481468547394
miR-93-5p,RNF128,0.816206073922582
miR-363-3p,GPR180,0.816089914368433
miR-93-5p,CD69,0.816062770967768
miR-363-3p,TEAD1,0.815766364987863
miR-93-5p,TNKS2,0.815512866486624
miR-93-5p,PTHLH,0.815347274959631
miR-363-3p,RNF141,0.814999251902216
miR-93-5p,GPR6,0.814273005602919
miR-93-5p,TSG101,0.814171154948557
miR-153-3p,NFE2L2,0.813830236921998
miR-363-3p,FMR1,0.813769885524637
miR-182-5p,CORO1C,0.813721773479935
miR-182-5p,IGF1R,0.813146184578753
miR-363-3p,DUSP10,0.812973631530256
miR-93-5p,RSBN1,0.812911397069711
miR-363-3p,FBXW7,0.812671028025769
miR-93-5p,TRAPPC14,0.812495403875925
miR-93-5p,STAT3,0.811723740973828
miR-93-5p,APCDD1,0.811657088451398
miR-363-3p,RNF38,0.811184369074536
miR-363-3p,USP28,0.810579667828153
miR-93-5p,LAMA3,0.810245797269397
miR-153-3p,CBFB,0.810205161539021
miR-93-5p,E2F5,0.809691510663426
miR-93-5p,ATG16L1,0.809323502744797
miR-182-5p,SNX30,0.809240592811892
miR-182-5p,VLDLR,0.80902854193855
miR-93-5p,EZH1,0.808762717428657
miR-363-3p,REV3L,0.808427667701939
miR-93-5p,SLITRK3,0.807849832689567
miR-182-5p,RAPGEF5,0.807626721485049
miR-182-5p,RAB10,0.807374563987921
miR-93-5p,LAPTM4A,0.806686758748045
miR-153-3p,CLCN5,0.806538696814068
miR-93-5p,SACS,0.806354192522754
miR-93-5p,ZNF512B,0.80613212251775
miR-93-5p,FRMD6,0.806128192329487
miR-93-5p,PRR15,0.806126036747596
miR-363-3p,UGP2,0.805931555563429
miR-93-5p,F3,0.805770144155321
miR-93-5p,ETV1,0.805238245379741
miR-93-5p,FJX1,0.804752278887111
miR-93-5p,RHOC,0.804472547825224
miR-93-5p,LIMA1,0.804425181514515
miR-182-5p,RARG,0.804365649938925
miR-93-5p,NR4A2,0.804226587499128
miR-93-5p,CNOT7,0.80405175098008
miR-363-3p,PCOLCE2,0.803734306133897
miR-93-5p,PPP6C,0.803082859315412
miR-182-5p,CUL5,0.803007674101622
miR-182-5p,EPAS1,0.802824750464126
miR-363-3p,PIKFYVE,0.802699135899631
miR-153-3p,UBE2W,0.802680737152625
miR-182-5p,BMT2,0.802558109061726
miR-93-5p,BAMBI,0.802500683344568
miR-182-5p,JAZF1,0.802500502487863
miR-182-5p,NPTX1,0.802268772111658
miR-93-5p,FNBP1L,0.802193309649513
miR-93-5p,EFCAB14,0.801721244829366
miR-153-3p,NFATC3,0.801689912158963
miR-153-3p,PLCB1,0.801191036766149
miR-93-5p,CAPRIN2,0.800448689433026
miR-182-5p,SP3,0.800054352884167
miR-363-3p,ITGAV,0.799857487799763
miR-153-3p,SLC4A4,0.799594257089644
miR-93-5p,BTBD10,0.79954058518125
miR-93-5p,STK17B,0.7977391096622
miR-93-5p,ZBTB18,0.797674037978359
miR-363-3p,ITPRID2,0.7975018732419
miR-182-5p,CLPTM1L,0.797262808317335
miR-93-5p,DCUN1D3,0.797245305408591
miR-182-5p,ZFC3H1,0.796957763803372
miR-93-5p,RGMB,0.796848750074668
miR-182-5p,PCDH8,0.796621981796365
miR-363-3p,EFR3A,0.79639277554931
miR-93-5p,ZNF367,0.796046729961077
miR-182-5p,ADGRL2,0.795753131870481
miR-182-5p,SLC39A9,0.795481009670894
miR-363-3p,CIC,0.795459863292016
miR-93-5p,REEP3,0.794865972899207
miR-182-5p,FBXW11,0.7946365723898
miR-363-3p,FAM135A,0.794619154641617
miR-153-3p,APC,0.794581610403578
miR-363-3p,SLC25A32,0.794280245697528
miR-153-3p,YIPF2,0.794081935964844
miR-93-5p,TWF1,0.793938664637348
miR-182-5p,FOXO3,0.793221105583708
miR-93-5p,DPYSL5,0.793187298382956
miR-363-3p,ARMC1,0.793035610222995
miR-93-5p,TXNIP,0.792829800845569
miR-93-5p,RSRP1,0.792778994542594
miR-182-5p,MED1,0.792627480677511
miR-153-3p,KDSR,0.79245102738768
miR-363-3p,UBE2W,0.792348003585425
miR-93-5p,TMEM64,0.792028677186995
miR-153-3p,BTBD7,0.791962487931898
miR-93-5p,NEDD4L,0.791514325048017
miR-182-5p,AEBP2,0.791454966203846
miR-153-3p,SGK3,0.791148338071259
miR-93-5p,UBE2W,0.79110881670564
miR-93-5p,VASH2,0.790642575677298
miR-363-3p,CLDN11,0.790329067568073
miR-93-5p,ZNF704,0.790283828481096
miR-433-3p,FERMT2,0.790260936626622
miR-93-5p,FNDC3A,0.790113281028111
miR-93-5p,BMT2,0.789849874104695
miR-93-5p,ARAP2,0.789634922072649
miR-153-3p,DDIT4,0.789598086761956
miR-182-5p,BOD1L1,0.789587243078196
miR-153-3p,OSBPL6,0.789569387412281
miR-93-5p,NPAT,0.789276957990109
miR-153-3p,NPTN,0.789206273467723
miR-153-3p,GFPT2,0.789172367360673
miR-363-3p,DUS2,0.788893643134271
miR-93-5p,SLC17A7,0.788689042604906
miR-153-3p,ADAM19,0.788171967984652
miR-363-3p,BCAT2,0.788052487521521
miR-93-5p,DUSP2,0.788023066775186
miR-93-5p,HECTD2,0.788001421167707
miR-93-5p,EMSY,0.788001158556857
miR-93-5p,TMCC1,0.787742866248721
miR-182-5p,ZC3H15,0.787271187209494
miR-93-5p,MINK1,0.786894787686979
miR-93-5p,DENND10,0.786544429219395
miR-182-5p,ADD3,0.78616332028267
miR-182-5p,FAM171A1,0.785602583287436
miR-363-3p,TENT4A,0.785502146926236
miR-93-5p,ZFAND4,0.785469065503126
miR-93-5p,CHD9,0.784879630147884
miR-363-3p,C21orf91,0.784793322948537
miR-182-5p,ABHD13,0.784437916313757
miR-93-5p,NAA30,0.784375497911926
miR-93-5p,ANKRD50,0.784125917567467
miR-182-5p,CHMP2B,0.783649823885011
miR-93-5p,NTN4,0.783442163141635
miR-182-5p,GXYLT1,0.78335794602153
miR-363-3p,BCL2L11,0.783259333331494
miR-93-5p,MFAP3L,0.783068368261413
miR-93-5p,KLHL2,0.782859070886027
miR-182-5p,ELMO1,0.782726247670129
miR-363-3p,ERGIC2,0.782578727213366
miR-93-5p,NUP35,0.782222303206562
miR-182-5p,FLOT1,0.78204199524109
miR-182-5p,INTS6,0.782041357229104
miR-93-5p,CEP97,0.781788866971835
miR-182-5p,PAIP2,0.78164861541295
miR-363-3p,TULP4,0.781553458218223
miR-93-5p,CDKN1A,0.781294743759562
miR-93-5p,SLC46A3,0.780952688286095
miR-363-3p,KLF2,0.780859774753136
miR-93-5p,EGLN3,0.780673053042192
miR-363-3p,MIA3,0.780577504343205
miR-153-3p,PTCH1,0.780534513234513
miR-93-5p,CALD1,0.780517042560892
miR-93-5p,NR4A3,0.780084863392965
miR-93-5p,OXSR1,0.77989986753174
miR-182-5p,FZD3,0.77987792612562
miR-93-5p,OSTM1,0.779508392290531
miR-93-5p,RRM2,0.778773389173872
miR-93-5p,KLHL28,0.778535984870936
miR-363-3p,BCL11B,0.77850100024225
miR-93-5p,CMPK1,0.778463326463022
miR-153-3p,SATB1,0.778332389468858
miR-182-5p,BRMS1L,0.778218544356319
miR-93-5p,TANC1,0.778041703127169
miR-182-5p,FMR1,0.777988710086678
miR-182-5p,EBF3,0.777942631763135
miR-93-5p,BTG3,0.777919858068274
miR-153-3p,KLHL3,0.777657504955531
miR-153-3p,RAI14,0.777653154732429
miR-93-5p,PEX5L,0.777545240844763
miR-93-5p,YPEL2,0.777379761596091
miR-182-5p,QKI,0.777317086104858
miR-93-5p,VSX1,0.777265852219084
miR-93-5p,HIF1A,0.777259906671691
miR-93-5p,TRIP10,0.777174991236112
miR-93-5p,NBEA,0.776961133224535
miR-363-3p,SLC17A6,0.776860439676184
miR-93-5p,PKIA,0.776734231214838
miR-93-5p,PTPN4,0.776453789191995
miR-93-5p,ADAM9,0.776280794585895
miR-93-5p,JPT1,0.776094800879917
miR-182-5p,DCUN1D1,0.776014918671356
miR-93-5p,EIF5A2,0.775779254188811
miR-93-5p,TBC1D9,0.775669356883286
miR-182-5p,FOXN2,0.77561411232773
miR-363-3p,PKDCC,0.775317766311064
miR-93-5p,TBC1D20,0.775259303531668
miR-363-3p,ADAM10,0.775241274755033
miR-363-3p,KAT2B,0.77520042317373
miR-182-5p,ARHGEF3,0.775148998276671
miR-182-5p,ZFAND4,0.774979979647547
miR-93-5p,INTS6,0.774871968901175
miR-363-3p,CPEB4,0.774627741210826
miR-93-5p,OXR1,0.774353672264649
miR-93-5p,CEP57,0.774224870257705
miR-93-5p,MTF1,0.774069648115567
miR-93-5p,TRIM36,0.773812525846091
miR-93-5p,NAGK,0.773596942950932
miR-182-5p,MOB1B,0.773310127787681
miR-363-3p,GFPT2,0.773080405185265
miR-182-5p,KIAA1217,0.772503869237684
miR-93-5p,DPYSL2,0.772203650896279
miR-93-5p,PPP3R1,0.771966814015199
miR-93-5p,FGD5,0.771708747458031
miR-363-3p,KIAA1109,0.77152432592135
miR-93-5p,RBBP7,0.771386708136117
miR-153-3p,ROCK1,0.771152392555505
miR-182-5p,SMAD1,0.771003025830667
miR-363-3p,BSDC1,0.770641275092712
miR-93-5p,CCNG2,0.770465919423675
miR-363-3p,RGS17,0.770404191923732
miR-363-3p,PIK3R3,0.770267938470299
miR-93-5p,SLC22A23,0.770241990017543
miR-93-5p,CREBRF,0.770146375874402
miR-182-5p,DENR,0.769869899600785
miR-363-3p,RAP1B,0.769824632046144
miR-93-5p,FAM126B,0.769510121594627
miR-93-5p,PTPDC1,0.769210675490242
miR-363-3p,ZFC3H1,0.769165278462025
miR-182-5p,MRTFB,0.768925350022136
miR-363-3p,ZEB2,0.768726704094123
miR-93-5p,SOBP,0.768717275612826
miR-363-3p,CBLN4,0.768561822615452
miR-153-3p,GLCCI1,0.768497880985214
miR-182-5p,RECK,0.767642783877632
miR-363-3p,NFIB,0.767259153595231
miR-363-3p,WASL,0.76718641613589
miR-363-3p,TGIF1,0.76700905444715
miR-182-5p,CLOCK,0.766943184365131
miR-182-5p,PPIL1,0.766658335971296
miR-363-3p,TMF1,0.766654019435409
miR-363-3p,CPEB2,0.766479924568272
miR-153-3p,PLEKHA3,0.766387672583273
miR-182-5p,OSBPL10,0.766375607133804
miR-363-3p,CNEP1R1,0.766359783212241
miR-363-3p,ACTC1,0.766316950094424
miR-363-3p,FNDC3B,0.76617968028833
miR-363-3p,DPY30,0.765915171728107
miR-363-3p,DOCK9,0.765600801426346
miR-652-3p,NPTN,0.764742331262613
miR-182-5p,PTPRG,0.764174780095303
miR-363-3p,NOVA1,0.763371930515101
miR-363-3p,APPL1,0.763092995435285
miR-182-5p,RTN4,0.762920655140662
miR-182-5p,CD47,0.76269133332241
miR-153-3p,KLF13,0.762651454592264
miR-182-5p,MET,0.762488656865689
miR-363-3p,TOB1,0.762289418866612
miR-182-5p,THBS1,0.762133450221974
miR-153-3p,FBXL3,0.762107446787105
miR-182-5p,ADCY6,0.762083393034277
miR-363-3p,SNX13,0.761975827108648
miR-485-5p,TAOK1,0.761739437115265
miR-363-3p,PTAR1,0.76172344610273
miR-182-5p,NRN1,0.761406412946536
miR-182-5p,PAFAH1B1,0.761390354125967
miR-363-3p,PHLPP2,0.760795779402051
miR-182-5p,SETD7,0.759812561461721
miR-153-3p,AUTS2,0.759598838711618
miR-363-3p,PCMTD1,0.759321636538834
miR-182-5p,RAB6B,0.759106873058721
miR-182-5p,CACNB4,0.759006625918752
miR-153-3p,APP,0.758686918996773
miR-363-3p,ACOX1,0.758166633477733
miR-182-5p,PC,0.757298674712221
miR-153-3p,TBC1D19,0.756483339885829
miR-182-5p,MBNL2,0.756214007954799
miR-153-3p,SUN2,0.755376387664512
miR-363-3p,SOX4,0.755261988482932
miR-363-3p,TACC2,0.755229878844191
miR-182-5p,MTSS1,0.755016286823146
miR-153-3p,KCTD6,0.754822703082757
miR-153-3p,ADO,0.754649372230775
miR-153-3p,SPHK2,0.754231247670263
miR-363-3p,CDC27,0.75407476945448
miR-182-5p,SLC1A2,0.753519058022776
miR-153-3p,TTC28,0.75308004766138
miR-182-5p,USP6NL,0.752817771773957
miR-363-3p,MTF1,0.752699391222265
miR-182-5p,MECOM,0.752199045053523
miR-153-3p,GNAI3,0.751633479456583
miR-153-3p,CADM2,0.750847995528966
miR-182-5p,TSNAX,0.750803389129754
miR-363-3p,MYCBP2,0.750764169072889
miR-182-5p,PCMT1,0.750690789877191
miR-153-3p,UNC5C,0.750601810258081
miR-153-3p,SMARCD2,0.750459150264114
miR-363-3p,PEAK1,0.75045481800987
miR-153-3p,NFIA,0.750324258398494
miR-363-3p,DSTYK,0.750151816108284
